,Label,Abbreviation,Name,Chinese,Opening Year,Closing Year,Address,Postcode,Lat,Long
213,NS8,MSL,Marsiling,马西岭,1996.0,,71 Woodlands Avenue 3,739044.0,1.43263611111111,103.774283333333
214,NS9,WDL,Woodlands,兀兰,1996.0,,30 Woodlands Avenue 2,738343.0,1.43709444444444,103.786483333333
215,PE1,COV,Cove,海湾,2005.0,,50 Punggol Field,828858.0,1.3994411,103.9058269
216,PE2,MRD,Meridian,丽园,2005.0,,60 Punggol Field,828857.0,1.3969617,103.9088653
217,PE3,CRE,Coral Edge,珊瑚,2005.0,,70 Punggol Field,828856.0,1.3938374,103.9126129
218,PE4,RIV,Riviera,里维拉,2005.0,,40 Punggol East,828852.0,1.3944335,103.9161124
219,PE5,KDL,Kadaloor,卡达鲁,2005.0,,60 Punggol Drive,828853.0,1.39968611111111,103.916352777777
220,PE6,OAS,Oasis,绿洲,2007.0,,50 Punggol Drive,828854.0,1.40236944444444,103.912422222222
221,PE7,DAM,Damai,达迈,2011.0,,40 Punggol Drive,828855.0,1.4052617,103.9085961
222,PTC,PGL,Punggol,榜鹅,2005.0,,70 Punggol Central,828868.0,1.40527777777777,103.9025
223,PW1,SMK,Sam Kee,三记,2016.0,,10 Sentul Crescent,828851.0,1.4097715,103.9049374
224,PW2,TKL,Teck Lee,德利,,,101 Ponggol Seventeenth Avenue,828861.0,1.4126927,103.9065766
225,PW3,PGP,Punggol Point,榜鹅坊,2016.0,,81 Punggol Way,828644.0,1.41688333333333,103.906352777777
226,PW4,SMD,Samudera,山姆,2017.0,,61 Punggol Way,828645.0,1.4158106,103.9022526
227,PW5,NBG,Nibong,尼蒙,2014.0,,41 Punggol Way,828862.0,1.4117812,103.9003711
228,PW6,SMG,Sumang,苏芒,2014.0,,31 Punggol Way,828863.0,1.408431,103.8985038
229,PW7,STK,Soo Teck,树德,2014.0,,21 Punggol Way,828864.0,1.4053094,103.8972555
230,SE1,CPV,Compassvale,康埔桦,2003.0,,10 Compassvale Street,545055.0,1.39444444444444,103.900277777777
231,SE2,RMB,Rumbia,棕美,2003.0,,70 Rivervale Drive,545054.0,1.3914216,103.9059676
232,SE3,BAK,Bakau,码高,2003.0,,50 Rivervale Drive,545053.0,1.38785277777777,103.905266666666
233,SE4,KGK,Kangkar,港脚,2003.0,,20 Rivervale Drive,545052.0,1.38373888888888,103.902194444444
234,SE5,RNG,Ranggung,兰岗,2003.0,,30 Sengkang East Avenue,545046.0,1.3840002,103.8973391
235,STC,SKG,Sengkang,盛港,2003.0,,5 Sengkang Square,545062.0,1.391664,103.8954667
236,SW1,CGL,Cheng Lim,振林,2013.0,,5 Anchorvale Street,545047.0,1.39638888888888,103.893611111111
237,SW2,FMW,Farmway,农道,2007.0,,35 Anchorvale Street,545048.0,1.3971866,103.8892115
238,SW3,KPG,Kupang,古邦,2015.0,,60 Fernvale Street,797697.0,1.3981981,103.8812872
239,SW4,TNG,Thanggam,丹甘,2005.0,,40 Fernvale Road,797699.0,1.3972212,103.8755883
240,SW5,FNV,Fernvale,芬微,2005.0,,10 Fernvale Road,797698.0,1.3918354,103.8762706
241,SW6,LYR,Layar,拉雅,2005.0,,11 Sengkang West Avenue,797700.0,1.392148,103.8799888
242,SW7,TGK,Tongkang,同港,2005.0,,80 Sengkang East Avenue,545050.0,1.3893188,103.8859224
243,SW8,RNJ,Renjong,仁宗,2005.0,,60 Sengkang East Avenue,545049.0,1.38661388888888,103.890425
244,TE1,WDN,Woodlands North,兀兰北,2020.0,,20 Woodlands North Coast Road,737668.0,1.44833333333333,103.785
245,TE10,MPL,Mount Pleasant,快乐山,,,,,1.32861111111111,103.835555555555
