Name,Latitude,Longitude,Level,Funding,Type,Notes,Opening Year,School Code,Exp,NA,NT,IP,Affiliated Schools COP
Methodist Girls' School,1.350967559,103.8851201,Secondary,IndependentIP,Girls,Affiliated to: Anglo-Chinese School (Independent) (IP) Methodist Girls' School,1887,IP:9162Express:7030,253,,,257,Methodist Girls' School: 220
Montfort Junior School,1.373824441,103.8893078,Primary,Government-aided,Boys,,,5018,,,,,
Montfort Secondary School,1.373961266,103.8889286,Secondary,Government-aided,Boys,Affiliated to: Catholic Junior College (Non-IP) Montfort Junior School,,7011,207,164,127,,Montfort Junior School: 188
Nan Chiau High School,1.388795825,103.8900044,Secondary,Government-aidedSAP,Mixed,Affiliated to: Singapore Hokkien Huay Kuan,1947,7112,244,,,,
Nan Chiau Primary School,1.392211499,103.8911809,Primary,Government-aided,Mixed,Affiliated to Singapore Hokkien Huay Kuan[4],,5028,,,,,
Nan Hua High School,1.308095018,103.7685612,Secondary,GovernmentAutonomousSAP,Mixed,,1917,3047,246,,,,
Nan Hua Primary School,1.3192016,103.7610951,Primary,"Government-aided, SAP",Mixed,,,,,,,,
Nanyang Girls' High School,1.330583267,103.802421,Secondary,IndependentSAPIP,Girls,Offers the Hwa Chong Diploma Affiliated to: Hwa Chong Institution (IP) Nanyang Primary School,1917,7114,261,,,,Nanyang Primary School: 250
Nanyang Primary School,1.320847499,103.8077502,Primary,"Government-aided, SAP",Mixed,,,5258,,,,,
National Junior College,1.3304814,103.8023113,Secondary,Government,Mixed,,1969,701,254,,,,
Naval Base Primary School,1.416306632,103.8387941,Primary,Government,Mixed,,,1730,,,,,
Naval Base Secondary School,1.419378816,103.8310504,Secondary,Government,Mixed,,,3214,205,168,130,,
New Town Primary School,1.299641882,103.8001022,Primary,Government,Mixed,,,,,,,,
New Town Secondary School,1.3097759,103.7731886,Secondary,Government,Mixed,,1965,3507,204,152,,,
Ngee Ann Primary School,1.305525059,103.917463,Primary,Government-aided,Mixed,,,5197,,,,,
Ngee Ann Secondary School,1.354475258,103.9567473,Secondary,Government-aidedAutonomous,Mixed,Affiliated to: Ngee Ann Primary School,1994,7310,238,189,146,,Ngee Ann Primary School: 225
North Spring Primary School,1.387061465,103.9032027,Primary,Government,Mixed,,,1761,,,,,
North View Primary School,1.427523272,103.8481908,Primary,Government,Mixed,,,1740,,,,,
North Vista Primary School,1.38282243,103.8959619,Primary,Government,Mixed,,,1253,,,,,
North Vista Secondary School,1.381131285,103.8991888,Secondary,Government,Mixed,,1956,3071,218,170,139,,
Northbrooks Secondary School,1.42081285,103.8451473,Secondary,Government,Mixed,,2000,3612,188,158,129,,
Northland Primary School,1.420969899,103.8409284,Primary,Government,Mixed,,,1729,,,,,
Northland Secondary School,1.435801834,103.8401047,Secondary,Government,Mixed,,,3058,188,154,113,,
Northoaks Primary School,1.45660782,103.814197,Primary,Government,Mixed,,,1267,,,,,
NUS High School of Mathematics and Science,1.306156659,103.7701483,Secondary,IndependentSpecialisedIP,Mixed,Offers the NUS High School Diploma Admit students through DSA and/or Independent Intake,2005,,,,,,
Oasis Primary School,1.404624132,103.9111206,Primary,Government,Mixed,,,1270,,,,,
Opera Estate Primary School,1.319319144,103.9237883,Primary,Government,Mixed,,,1212,,,,,
Orchid Park Secondary School,1.415320328,103.8378592,Secondary,Government,Mixed,,1999,3605,214,177,126,,
Outram Secondary School,1.286513575,103.8371273,Secondary,Government,Mixed,,1906,3215,188,152,97,,
Palm View Primary School,1.38376923,103.8913547,Primary,Government,Mixed,,,1263,,,,,
Park View Primary School,1.377380699,103.9395417,Primary,Government,Mixed,,,1743,,,,,
Pasir Ris Crest Secondary School,1.372840601,103.9597282,Secondary,Government,Mixed,,,3613,220,172,128,,
Pasir Ris Primary School,1.372418702,103.9628072,Primary,Government,Mixed,,,1243,,,,,
Pasir Ris Secondary School,1.354227327,103.9489626,Secondary,Government,Mixed,,1985,3235,220,170,123,,
Paya Lebar Methodist Girls' School,1.349472763,103.8849713,Primary,Government-aided,Girls,,,,,,,,
Paya Lebar Methodist Girls' School,1.350967559,103.8851201,Secondary,Government-aidedAutonomous,Girls,Affiliated to: Anglo-Chinese Junior College (Non-IP) Paya Lebar Methodist Girls' School,1916,7026,237,173,121,,Paya Lebar Methodist Girls' School: 205
Pei Chun Public School,1.337373587,103.8555856,Primary,"Government-aided, SAP",Mixed,,,,,,,,
Pei Hwa Presbyterian Primary School,1.338056346,103.7761064,Primary,"Government-aided, SAP",Mixed,,,,,,,,
Pei Hwa Secondary School,1.39037505,103.8784617,Secondary,Government,Mixed,,2005,3073,226,186,146,,
Pei Tong Primary School,1.316197849,103.7675998,Primary,Government,Mixed,,,,,,,,
Peicai Secondary School,1.359515832,103.8700107,Secondary,Government,Mixed,,,3232,188,152,99,,
Peirce Secondary School,1.366659447,103.8302161,Secondary,Government,Mixed,,1994,3061,214,160,108,,
Peiying Primary School,1.417233397,103.8304171,Primary,Government,Mixed,,,1236,,,,,
Ping Yi Secondary School,1.327016728,103.9207007,Secondary,Government,Mixed,,,3231,188,152,101,,
Pioneer Primary School,1.348836175,103.6950038,Primary,Government,Mixed,,,1741,,,,,
Poi Ching School,1.357651223,103.9352465,Primary,"Government-aided, SAP",Mixed,,,,,,,,
Presbyterian High School,1.382011943,103.8431494,Secondary,Government-aided,Mixed,Affiliated to: St. Andrews Junior College (Non-IP),1965,7308,236,180,133,,
Princess Elizabeth Primary School,1.349203513,103.7410196,Primary,Government,Mixed,,,1228,,,,,
Punggol Cove Primary School,1.411598919,103.8988046,Primary,Government,Mixed,,,,,,,,
Punggol Green Primary School,1.401872206,103.8988013,Primary,Government,Mixed,,,1259,,,,,
Punggol Primary School,1.377794512,103.8945069,Primary,Government,Mixed,,,1742,,,,,
Punggol Secondary School,1.402057384,103.9092137,Secondary,Government,Mixed,,,3070,205,171,140,,
Punggol View Primary School,1.405145826,103.9051564,Primary,Government,Mixed,,,1260,,,,,
Qifa Primary School,1.313251139,103.7567433,Primary,Government,Mixed,,,1197,,,,,
Qihua Primary School,1.442035966,103.7883398,Primary,Government,Mixed,,,1734,,,,,
Queenstown Primary School,1.29559365,103.8075486,Primary,Government,Mixed,,,1071,,,,,
Queenstown Secondary School,1.293521268,103.813191,Secondary,Government,Mixed,,1956,3508,191,152,120,,
Queensway Secondary School,1.300222716,103.8022073,Secondary,Government,Mixed,,1961,3007,222,168,131,,
Radin Mas Primary School,1.274958236,103.8241883,Primary,Government,Mixed,,,1072,,,,,
Raffles Girls' Primary School,1.32940426,103.8064429,Primary,Government,Girls,,,1073,,,,,
Raffles Girls' School,1.342174799,103.843134,Secondary,IndependentIP,Girls,Offers the Raffles Diploma Affiliated to: Raffles Institution (IP),1879,3008,261,,,,
Raffles Institution,1.346187761,103.8458751,Secondary,IndependentIP,Boys,Offers the Raffles Diploma Affiliated to: Raffles Girls' School (IP),,3009,259,,,,
Red Swastika School,1.333242978,103.9343323,Primary,"Government-aided, SAP",Mixed,,,5214,,,,,
Regent Secondary School,1.393279083,103.7510344,Secondary,Government,Mixed,,,3618,200,158,,,
River Valley High School,1.344078011,103.7090222,Secondary,GovernmentAutonomousSAPIP,Mixed,,1956,3103,253,,,,
River Valley Primary School,1.294223285,103.8358152,Primary,Government,Mixed,,,1217,,,,,
Riverside Primary School,1.447047343,103.801832,Primary,Government,Mixed,,,1264,,,,,
Riverside Secondary School,1.441101571,103.7883082,Secondary,Government,Mixed,,1987,3239,235,183,144,,
Rivervale Primary School,1.393409978,103.9045595,Primary,Government,Mixed,,,1752,,,,,
Rosyth School,1.372890675,103.8750015,Primary,Government,Mixed,,,1077,,,,,
Rulang Primary School,1.346738689,103.718458,Primary,Government,Mixed,,,1195,,,,,
"School of Science and Technology, Singapore",1.312928106,103.7740115,Secondary,IndependentSpecialised,Mixed,Admit students through DSA and/or Independent Intake Offers GCE O' Level certificate via the Special/Express course,2010,,,,,,
"School of the Arts, Singapore",1.2994,103.8465,Secondary,IndependentSpecialised,Mixed,Admit students through DSA and/or Independent Intake Offers the International Baccalaureate certificate,,,,,,,
Sembawang Primary School,1.445073716,103.8210424,Primary,Government,Mixed,,,1759,,,,,
Sembawang Secondary School,1.445315021,103.8168433,Secondary,Government,Mixed,,1999,3606,188,153,115,,
Seng Kang Primary School,1.389497404,103.8997671,Primary,Government,Mixed,,,1746,,,,,
Seng Kang Secondary School,1.386596831,103.898365,Secondary,Government,Mixed,,,3607,209,169,141,,
Sengkang Green Primary School,1.392846067,103.8752177,Primary,Government,Mixed,,,1261,,,,,
Sengkang Secondary School,1.386389,103.8969568,Secondary,Government,Mixed,,1999,3607,,,,,
Serangoon Garden Secondary School,1.369325705,103.8692703,Secondary,Government,Mixed,,1959,3509,188,152,123,,
Serangoon Secondary School,1.374655388,103.9021387,Secondary,Government,Mixed,,1928,3010,194,164,130,,
Shuqun Primary School,1.347653114,103.7215237,Primary,Government,Mixed,,,1220,,,,,
Shuqun Secondary School,1.3405,103.7376,Secondary,Government,Mixed,,1933,3234,,,,,
Si Ling Primary School,1.432409357,103.7860351,Primary,Government,Mixed,,,1161,,,,,
Singapore Chinese Girls' School,1.320634084,103.828165,Secondary,IndependentIP,Girls,"Affiliated to: Eunoia Junior College (IP), CHIJ St Nicholas Girls' School (IP) & Catholic High School (IP) Singapore Chinese Girls' School",1899,IP:9132Express:7014,252,,,252,Singapore Chinese Girls' School: 220
Singapore Chinese Girls’ School,1.320634084,103.828165,Primary,Government-aided,Girls,,,5026,,,,,
Singapore Sports School,1.426411406,103.7894448,Secondary,IndependentSpecialised,Mixed,Admit students through DSA and/or Independent Intake,2004,,,,,,
South View Primary School,1.381666644,103.7462758,Primary,Government,Mixed,,,1241,,,,,
Springdale Primary School,1.394670103,103.8899262,Primary,Government,Mixed,,,1262,,,,,
Springfield Secondary School,1.349573035,103.9303545,Secondary,Government,Mixed,,1992,3053,188,152,114,,
St. Andrew's Junior School,1.331402553,103.8651171,Primary,Government-aided,Boys,,,5009,,,,,
St. Andrew's Secondary School,1.33069361,103.8662491,Secondary,Government-aided,Boys,,1862,7015,247,193,142,,St. Andrew's Junior School: 193
St. Anthony's Canossian Primary School,1.334725373,103.9412349,Primary,Government-aided,Girls,,,5011,,,,,
St. Anthony's Canossian Secondary School,1.334663135,103.9419772,Secondary,Government-aidedAutonomous,Girls,"Affiliated to: Catholic Junior College (Non-IP) Canossa Convent Primary School, St Anthony's Canossian Primary School",1879,7016,230,152,95,,St. Anthony's Canossian Primary School: 193
St. Anthony's Primary School,1.364119485,103.7492519,Primary,Government-aided,Mixed,Lasallian school[6],,5259,,,,,
St. Gabriel's Primary School,1.349471927,103.862561,Primary,Government-aided,Boys,,,5012,,,,,
St. Gabriel's Secondary School,1.346382857,103.8758084,Secondary,Government-aided,Boys,Affiliated to: Catholic Junior College (Non-IP) St. Gabriel's Primary School,1953,7017,225,178,127,,St. Gabriel's Primary School: 188
St. Hilda's Primary School,1.349349944,103.9379205,Primary,Government-aided,Mixed,,,5025,,,,,
St. Hilda's Secondary School,1.349739224,103.937608,Secondary,Government-aidedAutonomous,Mixed,Affiliated to: St. Andrews Junior College (Non-IP) St. Hilda's Primary School,1934,7029,228,178,127,,St. Hilda's Primary School: 188
St. Joseph's Institution,1.332779662,103.8412033,Secondary,IndependentIP,Boys,"Affiliated to: Catholic Junior College (Non-IP) De la Salle School, St. Joseph's Institution Junior, St. Stephen's School, St. Anthony's Primary School",1852,IP:9141Express:7020,246,,,251,De La Salle School/St. Joseph's Institution Junior/St. Stephen's School/St. Anthony's Primary School: 238
St. Joseph's Institution Junior,1.31772861,103.8456119,Primary,Government-aided,Boys,Lasallian school[6],,5014,,,,,
St. Margaret's Primary School,1.303758927,103.8461925,Primary,Government-aided,Girls,,,5013,,,,,
St. Margaret's Secondary School,1.320068214,103.8099511,Secondary,Government-aidedAutonomous,Girls,,,7021,243,171,126,,St. Margaret's Primary School: 200
St. Patrick's School,1.307683931,103.9167684,Secondary,Government-aided,Boys,,1933,7022,233,184,143,,De La Salle School/St. Joseph's Institution Junior/St. Stephen's School/St. Anthony's Primary School: 201
St. Stephen's School,1.318789973,103.9172581,Primary,Government-aided,Boys,Lasallian school[6],,5015,,,,,
Stamford Primary School,1.303456385,103.8574535,Primary,Government,Mixed,,,1174,,,,,
Swiss Cottage Secondary School,1.364717427,103.7503961,Secondary,Government,Mixed,,,3304,242,187,148,,
Tampines North Primary School,1.360476415,103.9487258,Primary,Government,Mixed,,,1736,,,,,
Tampines Primary School,1.349778708,103.9440047,Primary,Government,Mixed,,,1201,,,,,
Tampines Secondary School,1.349260948,103.9442637,Secondary,Government,Mixed,,,3037,210,167,132,,
Tanglin Secondary School,1.309701692,103.7581584,Secondary,Government,Mixed,,1964,3511,188,152,107,,
Tanjong Katong Girls' School,1.308212746,103.8958201,Secondary,GovernmentAutonomous,Girls,,1953,3013,237,,,,
Tanjong Katong Primary School,1.305240843,103.9000927,Primary,Government,Mixed,,,1773,,,,,
Tanjong Katong Secondary School,1.30873516,103.8972252,Secondary,GovernmentAutonomous,Mixed,,1956,3512,234,,,,
Tao Nan School,1.305285287,103.9115532,Primary,"Government-aided, SAP",Mixed,Affiliated to Singapore Hokkien Huay Kuan[4],,5240,,,,,
Teck Ghee Primary School,1.365587821,103.8509571,Primary,Government,Mixed,,,1158,,,,,
Teck Whye Primary School,1.383649968,103.7532919,Primary,Government,Mixed,,,1043,,,,,
Teck Whye Secondary School,1.383334226,103.7551033,Secondary,Government,Mixed,,1966,3403,189,154,110,,
Telok Kurau Primary School,1.331045854,103.910934,Primary,Government,Mixed,,,1218,,,,,
Temasek Junior College,1.319011,103.9330746,Secondary,Government,Mixed,,1976,702,250,,,,
Temasek Primary School,1.317706776,103.9455907,Primary,Government,Mixed,,,1160,,,,,
Temasek Secondary School,1.315916732,103.9475641,Secondary,GovernmentAutonomous,Mixed,,,3030,235,187,145,,
Townsville Primary School,1.360032637,103.853826,Primary,Government,Mixed,,,1189,,,,,
Unity Primary School,1.402854819,103.7468226,Primary,Government,Mixed,,,1750,,,,,
Unity Secondary School,1.400028933,103.7460258,Secondary,Government,Mixed,,,3611,219,169,104,,
Valour Primary School,1.406835702,103.8990781,Primary,Government,Mixed,,,1273,,,,,
Victoria School,1.308713027,103.927981,Secondary,GovernmentAutonomousIP,Boys,Affiliated to: Victoria Junior College (IP) Cedar Girls' Secondary School (IP),1876,IP:9151Express:3014,248,,,252,
Waterway Primary School,1.398828006,103.9186216,Primary,Government,Mixed,,,1271,,,,,
Wellington Primary School,1.451920192,103.8223037,Primary,Government,Mixed,,,1767,,,,,
West Grove Primary School,1.344879056,103.6992864,Primary,Government,Mixed,,,1770,,,,,
West Spring Primary School,1.389441459,103.7661957,Primary,Government,Mixed,,,1265,,,,,
West Spring Secondary School,1.387822833,103.7601288,Secondary,Government,Mixed,,2001,3067,225,175,135,,
West View Primary School,1.38367582,103.7602404,Primary,Government,Mixed,,,1748,,,,,
