Name,Location,Unit,Search,Address,Postal Code,Latitude,Longitude,Link
Burger King,East Coast (Others),#01-01,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",1018 East Coast Parkway #01-01  Singapore 449877,449877,1.3021,103.9157,https://www.halaltag.com/place/2
Burger King,Eastpoint Mall,,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",3 Simei Street 6  Singapore 528833,528833,1.3427,103.953,https://www.halaltag.com/place/2
Burger King,FairPrice Hub,#01-51,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",1 Joo Koon Circle #01-51  Singapore 629117,629117,1.3257,103.6783,https://www.halaltag.com/place/2
Burger King,Funchun Community Club,#01-01,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",1 Woodlands Street 31  #01-01 Singapore  Singapore 738581,738581,1.4295,103.7748,https://www.halaltag.com/place/2
Burger King,Heartbeat@Bedok,#01-33,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",11 Bedok North Street 1  #01-33 Singapore 469662,469662,1.3269,103.932,https://www.halaltag.com/place/2
Burger King,HillV2,#01-06,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",4 Hillview Rise #01-06 Singapore 669554,669554,1.3647,103.7656,https://www.halaltag.com/place/2
Burger King,IMM Shopping Mall,#01-51,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",2 Jurong East Street 21 #01-51 Singapore 609601,609601,1.3349,103.7468,https://www.halaltag.com/place/2
Burger King,Income at Raffles (formerly Hitachi Tower),#01-01/02,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",16 Collyer Quay  #01-01/02 Singapore 049318,49318,1.2842,103.8525,https://www.halaltag.com/place/2
Burger King,ITE College West,#03-05C,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",1 Choa Chu Kang Grove #03-05C Singapore 688236,688236,1.3751,103.7523,https://www.halaltag.com/place/2
Burger King,JEM,#B1-02,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",50 Jurong Gateway Road #B1-02 Singapore 608549,608549,1.3328,103.7433,https://www.halaltag.com/place/2
Burger King,Jewel Changi Airport,#B2-235/236,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",78 Airport Boulevard #B2-235/236 Singapore 819666,819666,1.3601,103.9895,https://www.halaltag.com/place/2
Burger King,Jurong Point 2,#B1-54/55,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries","63 Jurong West Central 3

 #B1-54/55 Singapore 648331",648331,1.3393,103.7053,https://www.halaltag.com/place/2
Burger King,Kallang Leisure Park,#01-57,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",5 Stadium Walk #01-57 Singapore 397693,397693,1.3022,103.8764,https://www.halaltag.com/place/2
Burger King,Kitchener Complex,#01-31,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",809 French Road #01-31 Singapore 200809,200809,1.3083,103.862,https://www.halaltag.com/place/2
Burger King,Loyang Point,#01-23,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",258 Pasir Ris Street 21 #01-23 Singapore 510258,510258,1.3671,103.9646,https://www.halaltag.com/place/2
Burger King,Marina Square,,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",6 Raffles Bvld  Singapore 039594,39594,1.2913,103.8575,https://www.halaltag.com/place/2
Burger King,Marsiling Mall,#02-01,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",4 Woodlands St 12 #02-01 Singapore 738623,738623,1.4335,103.7799,https://www.halaltag.com/place/2
Burger King,Northpoint City,#01-03,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",930 Yishun Ave 2 #01-03 Singapore 769098,769098,1.4296,103.836,https://www.halaltag.com/place/2
Burger King,Novena Square Shopping Mall,#01-09/10,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",238 Thomson Road #01-09/10 Singapore 307683,307683,1.3202,103.8438,https://www.halaltag.com/place/2
Burger King,One@KentRidge,#03-11,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",1 Lower Kent Ridge Road #03-11 Singapore 119082,119082,1.2932,103.7844,https://www.halaltag.com/place/2
Burger King,Parkway Parade,#01,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",80 Marine Parade Road #01 Singapore 449269,449269,1.3012,103.9052,https://www.halaltag.com/place/2
Burger King,Pasir Ris (Others),,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries","1 Pasir Ris Close, Escape Theme Park  Singapore 519533",519533,0,0,https://www.halaltag.com/place/2
Burger King,Paya Lebar Square,#01-40/41/42/43,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",60 Paya Lebar Road #01-40/41/42/43 Singapore 409051,409051,1.3188,103.8926,https://www.halaltag.com/place/2
Burger King,Plaza Singapura,#B1-11,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",68 Orchard Road #B1-11 Singapore 238839,238839,1.3008,103.8451,https://www.halaltag.com/place/2
Burger King,Sembawang Shopping Centre,,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",604 Sembawang Road 01-01 Singapore 758459,758459,1.4418,103.8248,https://www.halaltag.com/place/2
