Label,Abbreviation,Name,Chinese,Opening Year,Closing Year,Address,Postcode,Lat,Long
DT21,BCL,Bencoolen,明古连,2017,,31 Bencoolen Street,189658,1.298888889,103.8502778
DT22,JLB,Jalan Besar,惹兰勿刹,2017,,90 Jalan Besar,208826,1.305555556,103.8552778
DT23,BDM,Bendemeer,明地迷亚,2017,,11 Kallang Bahru,339356,1.314166667,103.8613889
DT24,GLB,Geylang Bahru,芽笼峇鲁,2017,,541 Kallang Bahru,339355,1.321388889,103.8713889
DT25,MTR,Mattar,玛达,2017,,60 Merpati Road,379314,1.327222222,103.8827778
DT26,MPS,MacPherson,麦波申,2017,,171 Paya Lebar Road,409048,1.326666667,103.89
DT27,UBI,Ubi,乌美,2017,,51 Ubi Avenue 2,408899,1.33,103.9
DT28,KKB,Kaki Bukit,加基武吉,2017,,30 Kaki Bukit Avenue 1,415804,1.335,103.9088889
DT29,BDN,Bedok North,勿洛北,2017,,651 Bedok North Road,479481,1.336388889,103.9177778
DT3,HVW,Hillview,山景,2015,,510 Upper Bukit Timah Road,678211,1.3625,103.7675
DT30,BDR,Bedok Reservoir,勿洛蓄水池,2017,,371 Bedok North Avenue 3,469724,1.336666667,103.9308333
DT31,TPW,Tampines West,淡滨尼西,2017,,2 Tampines Avenue 4,529683,1.345555556,103.9383333
DT32,TAM,Tampines,淡滨尼,2017,,20 Tampines Central 1,529538,1.352527778,103.9453222
DT33,TPE,Tampines East,淡滨尼东,2017,,20 Tampines Avenue 7,529623,1.356388889,103.9547222
DT34,UPC,Upper Changi,樟宜上段,2017,,690 Upper Changi Road East,485990,1.341944444,103.9613889
DT35,XPO,Expo,博览,2017,,21 Changi South Avenue 1,486065,1.335469444,103.9617667
DT36,XLN,Xilin,锡林,2024,,,,1.328888889,103.965
DT37,SGB,Sungei Bedok,双溪勿洛,2024,,,,1.320277778,103.9572222
DT4,,Hume,谦道,2025,,,,1.354722222,103.7691667
DT5,BTW,Beauty World,美世界,2015,,101 Upper Bukit Timah Road,588216,1.341111111,103.7758333
DT6,KAP,King Albert Park,阿尔柏王园,2015,,2 Blackmore Drive,599987,1.335555556,103.7838889
DT7,SAV,Sixth Avenue,第六道,2015,,777 Bukit Timah Road,269784,1.330833333,103.7975
DT8,TKK,Tan Kah Kee,陈嘉庚,2015,,651 Bukit Timah Road,266268,1.326111111,103.8072222
DT9,BTN,Botanic Gardens,植物园,2015,,100 Cluny Park Road,257494,1.3225,103.8152778
EW1,PSR,Pasir Ris,巴西立,1989,,10 Pasir Ris Central,519634,1.372411111,103.9493694
EW10,KAL,Kallang,加冷,1989,,5 Sims Avenue,387405,1.311469444,103.8714
EW11,LVR,Lavender,劳明达,1989,,50 Kallang Road,208699,1.307166667,103.8630083
EW12,BGS,Bugis,武吉士,1989,,320 Victoria Street,188045,1.300277778,103.8561111
EW13,CTH,City Hall,政府大厦,1987,,150 North Bridge Road,179100,1.293238889,103.8522194
EW14,RFP,Raffles Place,莱佛士坊,1987,,5 Raffles Place,48618,1.283880556,103.8515333
EW15,TPG,Tanjong Pagar,丹戎巴葛,1987,,120 Maxwell Road,69119,1.276438889,103.8457111
EW16,OTP,Outram Park,欧南园,1987,,10 Outram Road,169037,1.280277778,103.8394444
EW17,TIB,Tiong Bahru,中峇鲁,1988,,300 Tiong Bahru Road,168731,1.286080556,103.8269583
EW18,RDH,Redhill,红山,1988,,920 Tiong Bahru Road,158792,1.289733333,103.81675
EW19,QUE,Queenstown,女皇镇,1988,,301 Commonwealth Avenue,149729,1.294441667,103.8061139
EW2,TAM,Tampines,淡滨尼,1989,,20 Tampines Central 1,529538,1.352527778,103.9453222
EW20,COM,Commonwealth,联邦,1988,,375 Commonwealth Avenue,149735,1.302558333,103.798225
EW21,BNV,Buona Vista,波那维斯达,1988,,100 North Buona Vista Road,139345,1.307333333,103.7900278
EW22,DVR,Dover,杜弗,2001,,200 Commonwealth Avenue West,138677,1.311313889,103.7786583
EW23,CLE,Clementi,金文泰,1988,,3150 Commonwealth Avenue West,129580,1.315302778,103.7652444
EW24,JUR,Jurong East,裕廊东,1988,,10 Jurong East Street 12,609690,1.333333333,103.7422222
EW25,CNG,Chinese Garden,裕华园,1988,,151 Boon Lay Way,609959,1.342711111,103.7324667
EW26,LKS,Lakeside,湖畔,1988,,201 Boon Lay Way,649845,1.344588889,103.7211389
EW27,BNL,Boon Lay,文礼,1990,,301 Boon Lay Way,649846,1.338883333,103.7062083
EW28,PNR,Pioneer,先驱,2009,,31 Jurong West Street 63,648310,1.337577778,103.6972167
